country,championate,title,date,result,book,home_open_odds,home_close_odds,draw_open_odds,draw_close_odds,away_open_odds,away_close_odds
Turkey,PTT 1. Lig 2013/2014,Fethiyespor - Adanaspor AS,"Wednesday, 19 Feb 2014, 18:00",0:1,Marathonbet,2.22,2.32,2.94,2.94,3.75,3.5
Russia,Premier League 2011/2012,Tomsk - Akhmat Grozny,"Saturday, 14 Apr 2012, 11:00",3:0,Pinnacle,2.52,2.42,3.13,3.16,3.19,3.38
Brazil,Serie A 2016,Botafogo RJ - Gremio,"Sunday, 04 Sep 2016, 19:00",2:1,Marathonbet,2.74,2.55,3.38,3.48,2.74,2.85
Brazil,Serie A 2016,Botafogo RJ - Gremio,"Sunday, 04 Sep 2016, 19:00",2:1,Pinnacle,2.59,2.46,3.37,3.46,2.92,3.04
Spain,LaLiga 2016/2017,Atl. Madrid - Las Palmas,"Saturday, 17 Dec 2016, 15:15",1:0,Marathonbet,1.25,1.25,6.8,6.6,14.5,15.5
Spain,LaLiga 2016/2017,Atl. Madrid - Las Palmas,"Saturday, 17 Dec 2016, 15:15",1:0,Pinnacle,1.23,1.25,6.35,6.6,15.95,14.9
Italy,Serie B 2013/2014,Trapani - Modena,"Saturday, 22 Feb 2014, 15:00",2:0,Marathonbet,2.15,2.25,3.2,3.05,4.05,3.95
Italy,Serie B 2013/2014,Trapani - Modena,"Saturday, 22 Feb 2014, 15:00",2:0,Pinnacle,2.24,2.23,3.33,3.18,3.55,3.8
Italy,Serie B 2017/2018,Bari - Ternana,"Saturday, 23 Sep 2017, 13:00",3:0,Asianodds,1.68,1.72,3.6,3.7,4.9,6.05
Italy,Serie B 2017/2018,Bari - Ternana,"Saturday, 23 Sep 2017, 13:00",3:0,Marathonbet,2.09,1.64,3.56,3.72,3.76,6.8
Italy,Serie B 2017/2018,Bari - Ternana,"Saturday, 23 Sep 2017, 13:00",3:0,Pinnacle,1.72,1.63,3.59,3.74,6.05,6.9
Belgium,Jupiler League 2011/2012,Mons - St. Truiden,"Saturday, 13 Aug 2011, 19:00",4:2,Pinnacle,2.02,1.78,3.52,3.87,3.92,4.92
Norway,Tippeligaen 2012,Aalesund - Tromso,"Monday, 02 Apr 2012, 18:00",0:0,Pinnacle,2.27,2.17,3.48,3.52,3.34,3.6
Argentina,Primera Division 2016,Estudiantes L.P. - Defensa y Justicia,"Saturday, 19 Mar 2016, 00:15",2:1,Marathonbet,2.0,1.95,3.2,3.42,4.7,4.55
Argentina,Primera Division 2016,Estudiantes L.P. - Defensa y Justicia,"Saturday, 19 Mar 2016, 00:15",2:1,Pinnacle,2.04,2.06,3.37,3.25,4.2,4.3
Sweden,Allsvenskan 2018,Dalkurd - Orebro,"Saturday, 20 Oct 2018, 14:00",1:0,Asianodds,3.3,3.17,3.45,3.5,2.26,2.33
Sweden,Allsvenskan 2018,Dalkurd - Orebro,"Saturday, 20 Oct 2018, 14:00",1:0,Marathonbet,3.04,3.13,3.4,3.45,2.35,2.28
Sweden,Allsvenskan 2018,Dalkurd - Orebro,"Saturday, 20 Oct 2018, 14:00",1:0,Pinnacle,3.38,3.17,3.34,3.5,2.26,2.33
Netherlands,Eredivisie 2018/2019,Feyenoord - AZ Alkmaar,"Saturday, 20 Apr 2019, 18:45",2:1,Asianodds,1.79,1.88,4.14,4.25,4.14,3.96
Netherlands,Eredivisie 2018/2019,Feyenoord - AZ Alkmaar,"Saturday, 20 Apr 2019, 18:45",2:1,Marathonbet,1.81,1.79,4.1,4.1,3.95,4.05
Netherlands,Eredivisie 2018/2019,Feyenoord - AZ Alkmaar,"Saturday, 20 Apr 2019, 18:45",2:1,Pinnacle,1.79,1.83,4.14,4.14,4.14,4.06
Argentina,Primera Division 2011/2012,Tigre - Estudiantes L.P.,"Saturday, 17 Mar 2012, 20:00",1:1,Pinnacle,2.61,2.37,3.13,3.07,3.04,3.57
Spain,Segunda Division 2014/2015,Zaragoza - Las Palmas,"Sunday, 31 May 2015, 16:00",0:2,Marathonbet,2.48,2.32,3.2,3.35,3.06,3.2
Spain,Segunda Division 2014/2015,Zaragoza - Las Palmas,"Sunday, 31 May 2015, 16:00",0:2,Pinnacle,2.48,2.45,3.48,3.45,2.95,3.06
Spain,Primera Division 2010/2011,Almeria - Ath Bilbao,"Monday, 04 Apr 2011, 20:00",1:3,Pinnacle,2.95,2.73,3.34,3.48,2.62,2.73
Netherlands,Eerste Divisie 2013/2014,Willem II - Jong PSV,"Sunday, 08 Sep 2013, 11:30",2:0,Marathonbet,1.45,1.42,4.6,4.8,7.4,7.7
Netherlands,Eerste Divisie 2013/2014,Willem II - Jong PSV,"Sunday, 08 Sep 2013, 11:30",2:0,Pinnacle,1.47,1.46,4.95,4.99,6.75,6.95
Romania,Liga 1 2015/2016,Poli Timisoara - Concordia,"Saturday, 23 Apr 2016, 15:00",1:3,Marathonbet,2.51,2.33,3.1,2.98,3.22,3.76
Romania,Liga 1 2015/2016,Poli Timisoara - Concordia,"Saturday, 23 Apr 2016, 15:00",1:3,Pinnacle,2.58,2.13,3.16,3.25,3.06,3.94
Sweden,Allsvenskan 2018,Ostersunds - Kalmar,"Sunday, 12 Aug 2018, 13:00",2:0,Asianodds,1.58,1.9,3.7,3.74,5.7,4.5
Sweden,Allsvenskan 2018,Ostersunds - Kalmar,"Sunday, 12 Aug 2018, 13:00",2:0,Marathonbet,1.6,1.86,4.0,3.76,6.65,4.5
Sweden,Allsvenskan 2018,Ostersunds - Kalmar,"Sunday, 12 Aug 2018, 13:00",2:0,Pinnacle,1.64,1.85,3.94,3.74,5.81,4.49
Germany,2. Bundesliga 2019/2020,SG Dynamo Dresden - Bochum,"Saturday, 22 Feb 2020, 12:00",1:2,Asianodds,2.33,2.63,3.45,3.3,2.78,2.88
Germany,2. Bundesliga 2019/2020,SG Dynamo Dresden - Bochum,"Saturday, 22 Feb 2020, 12:00",1:2,Marathonbet,2.38,2.62,3.52,3.14,2.9,2.86
Germany,2. Bundesliga 2019/2020,SG Dynamo Dresden - Bochum,"Saturday, 22 Feb 2020, 12:00",1:2,Pinnacle,2.47,2.63,3.25,3.23,3.06,2.86
Netherlands,Eredivisie 2013/2014,Den Bosch - Excelsior,"Thursday, 08 May 2014, 18:45",1:3,Marathonbet,2.45,2.45,3.5,3.65,3.0,2.92
