country,championate,title,date,result,book,home_open_odds,home_close_odds,draw_open_odds,draw_close_odds,away_open_odds,away_close_odds
Denmark,1st Division 2010/2011,Hobro - Skive,"Wednesday, 06 Apr 2011, 17:00",5:4,Pinnacle,2.58,2.77,3.58,3.49,2.75,2.62
Germany,2. Bundesliga 2012/2013,Regensburg - Sandhausen,"Friday, 01 Mar 2013, 18:00",1:3,Marathonbet,2.25,2.08,3.3,3.6,3.6,3.75
Germany,2. Bundesliga 2012/2013,Regensburg - Sandhausen,"Friday, 01 Mar 2013, 18:00",1:3,Pinnacle,2.13,2.14,3.48,3.55,3.66,3.62
Croatia,1. HNL 2014/2015,Hajduk Split - D. Zagreb,"Sunday, 31 Aug 2014, 18:00",2:3,Marathonbet,3.7,3.7,3.5,3.5,1.97,1.97
Croatia,1. HNL 2014/2015,Hajduk Split - D. Zagreb,"Sunday, 31 Aug 2014, 18:00",2:3,Pinnacle,4.13,3.7,3.58,3.46,1.93,2.06
Brazil,Serie B 2017,Internacional - America MG,"Wednesday, 27 Sep 2017, 22:30",2:1,Asianodds,1.64,1.56,3.4,3.78,5.1,8.04
Brazil,Serie B 2017,Internacional - America MG,"Wednesday, 27 Sep 2017, 22:30",2:1,Marathonbet,1.75,1.56,3.65,3.7,5.4,8.4
Brazil,Serie B 2017,Internacional - America MG,"Wednesday, 27 Sep 2017, 22:30",2:1,Pinnacle,1.59,1.56,3.77,3.78,7.44,8.04
Russia,Premier League 2012/2013,Kuban - Krasnodar,"Friday, 10 Aug 2012, 17:00",2:1,Pinnacle,2.58,2.6,3.18,3.11,3.09,3.19
Czech Republic,Gambrinus liga 2013/2014,Pribram - Sparta Prague,"Saturday, 15 Mar 2014, 20:15",0:1,Marathonbet,8.7,7.4,4.5,4.2,1.45,1.53
Czech Republic,Gambrinus liga 2013/2014,Pribram - Sparta Prague,"Saturday, 15 Mar 2014, 20:15",0:1,Pinnacle,8.42,6.89,4.65,3.97,1.44,1.59
Iceland,Pepsideild 2014,KR Reykjavik - Breidablik,"Sunday, 27 Jul 2014, 21:00",1:1,Marathonbet,1.72,1.71,3.9,3.95,4.4,4.4
Iceland,Pepsideild 2014,KR Reykjavik - Breidablik,"Sunday, 27 Jul 2014, 21:00",1:1,Pinnacle,1.63,1.68,4.12,4.21,5.72,5.18
USA,MLS 2019,DC United - Atlanta Utd,"Sunday, 03 Mar 2019, 23:00",2:0,Asianodds,3.11,2.48,3.63,3.57,2.27,2.9
USA,MLS 2019,DC United - Atlanta Utd,"Sunday, 03 Mar 2019, 23:00",2:0,Marathonbet,3.1,2.44,3.55,3.5,2.25,2.83
USA,MLS 2019,DC United - Atlanta Utd,"Sunday, 03 Mar 2019, 23:00",2:0,Pinnacle,3.11,2.48,3.63,3.57,2.27,2.88
Poland,Ekstraklasa 2019/2020,Pogon Szczecin - Lechia Gdansk,"Sunday, 21 Jun 2020, 10:30",0:1,Asianodds,2.36,2.36,3.44,3.45,3.21,3.16
Poland,Ekstraklasa 2019/2020,Pogon Szczecin - Lechia Gdansk,"Sunday, 21 Jun 2020, 10:30",0:1,Marathonbet,2.51,2.33,3.5,3.32,2.74,3.13
Poland,Ekstraklasa 2019/2020,Pogon Szczecin - Lechia Gdansk,"Sunday, 21 Jun 2020, 10:30",0:1,Pinnacle,2.36,2.36,3.28,3.44,3.21,3.15
Germany,Bundesliga 2018/2019,Hoffenheim - Freiburg,"Saturday, 01 Sep 2018, 13:30",3:1,Asianodds,1.62,1.52,3.7,4.59,4.7,6.6
Germany,Bundesliga 2018/2019,Hoffenheim - Freiburg,"Saturday, 01 Sep 2018, 13:30",3:1,Marathonbet,1.65,1.55,4.25,4.6,5.75,6.6
Germany,Bundesliga 2018/2019,Hoffenheim - Freiburg,"Saturday, 01 Sep 2018, 13:30",3:1,Pinnacle,1.6,1.52,4.18,4.59,5.98,6.6
Russia,FNL 2013/2014,Baltika - FK Novosibirsk,"Friday, 25 Apr 2014, 17:00",0:0,Marathonbet,2.1,2.15,3.05,3.15,4.2,3.85
Belgium,Proximus League 2014/2015,Mons - Aalst,"Saturday, 04 Apr 2015, 18:00",1:1,Marathonbet,1.53,1.82,4.25,3.98,7.0,4.33
Belgium,Proximus League 2014/2015,Mons - Aalst,"Saturday, 04 Apr 2015, 18:00",1:1,Pinnacle,1.95,1.85,3.76,3.82,3.97,4.4
Belgium,Jupiler League 2013/2014,Leuven - Mons,"Saturday, 29 Mar 2014, 20:00",2:0,Pinnacle,2.24,2.66,3.56,3.31,3.31,2.87
Switzerland,Super League 2012/2013,Grasshoppers - Young Boys,"Sunday, 21 Oct 2012, 15:00",3:2,Marathonbet,2.38,2.75,3.4,3.35,3.2,2.75
Switzerland,Super League 2012/2013,Grasshoppers - Young Boys,"Sunday, 21 Oct 2012, 15:00",3:2,Pinnacle,2.33,2.96,3.48,3.23,3.19,2.65
Russia,FNL 2015/2016,Orenburg - Tosno,"Monday, 17 Aug 2015, 14:00",3:1,Marathonbet,2.25,1.95,3.32,3.35,3.25,4.15
Russia,FNL 2015/2016,Orenburg - Tosno,"Monday, 17 Aug 2015, 14:00",3:1,Pinnacle,1.93,1.93,3.32,3.37,4.0,3.89
China,Super League 2017,Jiangsu Suning - Tianjin Tianhai,"Thursday, 28 Sep 2017, 11:35",1:0,Asianodds,2.49,2.64,3.6,3.6,2.38,2.64
China,Super League 2017,Jiangsu Suning - Tianjin Tianhai,"Thursday, 28 Sep 2017, 11:35",1:0,Marathonbet,2.5,2.66,3.5,3.5,2.85,2.66
China,Super League 2017,Jiangsu Suning - Tianjin Tianhai,"Thursday, 28 Sep 2017, 11:35",1:0,Pinnacle,2.6,2.64,3.51,3.59,2.74,2.64
Argentina,Primera Division 2015,Gimnasia L.P. - San Martin S.J.,"Friday, 20 Nov 2015, 20:00",5:1,Marathonbet,1.97,1.72,3.2,3.56,4.85,6.1
Argentina,Primera Division 2015,Gimnasia L.P. - San Martin S.J.,"Friday, 20 Nov 2015, 20:00",5:1,Pinnacle,1.9,1.7,3.37,3.67,4.93,6.03
Brazil,Serie A 2019,Flamengo RJ - Avai,"Thursday, 05 Dec 2019, 23:00",6:1,Asianodds,1.16,1.12,7.9,10.48,17.0,23.0
Brazil,Serie A 2019,Flamengo RJ - Avai,"Thursday, 05 Dec 2019, 23:00",6:1,Marathonbet,1.12,1.12,9.1,9.5,22.0,20.5
Brazil,Serie A 2019,Flamengo RJ - Avai,"Thursday, 05 Dec 2019, 23:00",6:1,Pinnacle,1.13,1.09,9.08,10.48,20.74,22.79
Slovakia,Fortuna liga 2019/2020,Trencin - Sered,"Sunday, 01 Mar 2020, 14:30",2:1,Asianodds,1.46,1.4,5.05,5.34,6.02,7.0
Slovakia,Fortuna liga 2019/2020,Trencin - Sered,"Sunday, 01 Mar 2020, 14:30",2:1,Marathonbet,1.44,1.39,4.75,4.85,6.05,6.9
Slovakia,Fortuna liga 2019/2020,Trencin - Sered,"Sunday, 01 Mar 2020, 14:30",2:1,Pinnacle,1.55,1.4,4.56,5.34,5.46,6.62
Ireland,Premier Division 2015,Bray - St. Patricks,"Saturday, 16 May 2015, 16:45",1:0,Marathonbet,13.0,14.0,5.8,6.5,1.29,1.25
