country,championate,title,date,result,book,home_open_odds,home_close_odds,draw_open_odds,draw_close_odds,away_open_odds,away_close_odds
Brazil,Série A 2013,Vasco - Nautico,"Sunday, 01 Dec 2013, 20:00",2:0,Marathonbet,1.37,1.18,5.3,7.9,9.3,15.0
Brazil,Série A 2013,Vasco - Nautico,"Sunday, 01 Dec 2013, 20:00",2:0,Pinnacle,1.19,1.2,7.34,7.59,17.62,16.87
Scotland,Premiership 2015/2016,Hearts - Ross County,"Saturday, 24 Oct 2015, 14:00",2:0,Marathonbet,2.0,2.27,3.62,3.5,4.0,3.34
Scotland,Premiership 2015/2016,Hearts - Ross County,"Saturday, 24 Oct 2015, 14:00",2:0,Pinnacle,2.17,2.22,3.62,3.47,3.47,3.5
Brazil,Serie B,Vitoria - Sampaio Correa,"Saturday, 08 Aug 2020, 22:00",1:0,Marathonbet,1.97,1.7,3.44,3.52,3.84,5.35
Brazil,Serie B,Vitoria - Sampaio Correa,"Saturday, 08 Aug 2020, 22:00",1:0,Pinnacle,1.87,1.73,3.59,3.56,4.3,5.33
Brazil,Serie B,Vitoria - Sampaio Correa,"Saturday, 08 Aug 2020, 22:00",1:0,Marathonbet,1.97,1.7,3.44,3.52,3.84,5.35
Brazil,Serie B,Vitoria - Sampaio Correa,"Saturday, 08 Aug 2020, 22:00",1:0,Pinnacle,1.87,1.73,3.59,3.56,4.3,5.33
England,League One 2017/2018,Northampton - Charlton,"Friday, 30 Mar 2018, 14:00",0:4,Asianodds,2.69,3.58,3.1,3.4,2.58,2.25
England,League One 2017/2018,Northampton - Charlton,"Friday, 30 Mar 2018, 14:00",0:4,Marathonbet,2.81,3.58,3.5,3.42,2.6,2.2
England,League One 2017/2018,Northampton - Charlton,"Friday, 30 Mar 2018, 14:00",0:4,Pinnacle,3.0,3.58,3.33,3.4,2.52,2.19
Czech Republic,1. Liga 2019/2020,Zlin - Opava,"Saturday, 20 Jun 2020, 13:30",3:1,Asianodds,2.0,1.88,3.34,3.54,4.2,4.55
Czech Republic,1. Liga 2019/2020,Zlin - Opava,"Saturday, 20 Jun 2020, 13:30",3:1,Marathonbet,1.94,1.83,3.34,3.44,4.1,4.5
Czech Republic,1. Liga 2019/2020,Zlin - Opava,"Saturday, 20 Jun 2020, 13:30",3:1,Pinnacle,2.03,1.88,3.31,3.54,4.12,4.55
Netherlands,Eerste Divisie 2017/2018,Maastricht - Telstar,"Friday, 12 Jan 2018, 19:00",0:0,Asianodds,2.01,2.22,3.55,3.82,3.3,3.22
Netherlands,Eerste Divisie 2017/2018,Maastricht - Telstar,"Friday, 12 Jan 2018, 19:00",0:0,Marathonbet,1.85,2.17,3.8,3.8,4.5,3.32
Netherlands,Eerste Divisie 2017/2018,Maastricht - Telstar,"Friday, 12 Jan 2018, 19:00",0:0,Pinnacle,2.19,2.21,3.93,3.82,3.19,3.22
Turkey,PTT 1. Lig 2013/2014,Kahramanmarasspor - Mersin,"Saturday, 08 Feb 2014, 18:00",0:2,Marathonbet,5.4,6.0,3.35,4.05,1.74,1.55
France,Ligue 1 2011/2012,Marseille - Paris SG,"Sunday, 27 Nov 2011, 21:00",3:0,Pinnacle,2.24,2.25,3.31,3.46,3.6,3.46
Denmark,Superliga 2012/2013,Nordsjaelland - Sonderjyske,"Saturday, 27 Apr 2013, 16:00",2:2,Marathonbet,1.75,1.63,3.75,4.05,5.3,6.1
Denmark,Superliga 2012/2013,Nordsjaelland - Sonderjyske,"Saturday, 27 Apr 2013, 16:00",2:2,Pinnacle,1.65,1.69,4.13,4.19,5.57,5.11
Turkey,Super Lig 2017/2018,Galatasaray - Konyaspor,"Sunday, 11 Mar 2018, 16:00",2:1,Asianodds,1.27,1.24,5.3,6.95,9.6,13.0
Turkey,Super Lig 2017/2018,Galatasaray - Konyaspor,"Sunday, 11 Mar 2018, 16:00",2:1,Marathonbet,1.29,1.23,6.0,7.1,12.0,14.0
Turkey,Super Lig 2017/2018,Galatasaray - Konyaspor,"Sunday, 11 Mar 2018, 16:00",2:1,Pinnacle,1.29,1.24,6.25,6.95,10.84,12.0
Serbia,Super Liga 2018/2019,Proleter - Vojvodina,"Friday, 24 Aug 2018, 18:00",0:1,Asianodds,5.75,5.44,3.51,3.39,1.67,1.75
Serbia,Super Liga 2018/2019,Proleter - Vojvodina,"Friday, 24 Aug 2018, 18:00",0:1,Marathonbet,3.1,5.5,3.1,3.46,2.46,1.72
